id,filename,f1,f1p,f2,f2p,f3,f3p,f4,f4p,f5,f5p,f6,f6p,f1px,f1py,f2px,f2py,f3px,f3py,f4px,f4py,f5px,f5py,f6px,f6py
22,22_Cam.000__4_7_3_1_2_5.jpg,Flch0_azul,4,Flch6_morada,7,Flch1_verde,3,Flch2_naranja,1,Flch3_amarilla,2,Flch4_roja,5,187,327,195,267,343,304,61,237,357,175,158,265
23,23_Cam.000__3_5_8_5_8_4.jpg,Flch0_azul,3,Flch6_morada,5,Flch1_verde,8,Flch2_naranja,5,Flch3_amarilla,8,Flch4_roja,4,340,317,333,236,282,199,303,308,216,204,327,291
24,24_Cam.000__3_3_7_5_5_5.jpg,Flch0_azul,3,Flch6_morada,3,Flch1_verde,7,Flch2_naranja,5,Flch3_amarilla,5,Flch4_roja,5,337,141,210,379,229,281,200,333,296,128,292,119
25,25_Cam.003__2_2_4_5_2_5.jpg,Flch0_azul,2,Flch6_morada,2,Flch1_verde,4,Flch2_naranja,5,Flch3_amarilla,2,Flch4_roja,5,104,84,258,406,215,368,351,229,36,273,287,112
26,26_Cam.000__4_1_4_1_5_3.jpg,Flch0_azul,4,Flch6_morada,1,Flch1_verde,4,Flch2_naranja,1,Flch3_amarilla,5,Flch4_roja,3,304,343,81,333,127,241,123,367,326,197,210,49
27,27_Cam.003__3_5_5_1_7_1.jpg,Flch0_azul,3,Flch6_morada,5,Flch1_verde,5,Flch2_naranja,1,Flch3_amarilla,7,Flch4_roja,1,87,107,336,237,278,107,333,50,168,167,47,122
28,28_Cam.001__2_7_1_2_2_5.jpg,Flch0_azul,2,Flch6_morada,7,Flch1_verde,1,Flch2_naranja,2,Flch3_amarilla,2,Flch4_roja,5,324,113,218,282,96,172,302,84,122,119,235,119
29,29_Cam.002__1_3_6_3_1_1.jpg,Flch0_azul,1,Flch6_morada,3,Flch1_verde,6,Flch2_naranja,3,Flch3_amarilla,1,Flch4_roja,1,394,317,353,174,167,297,60,215,71,336,145,370
30,30_Cam.002__2_4_5_5_4_2.jpg,Flch0_azul,2,Flch6_morada,4,Flch1_verde,5,Flch2_naranja,5,Flch3_amarilla,4,Flch4_roja,2,397,269,193,339,285,319,221,330,112,182,59,277
31,31_Cam.002__1_2_8_1_1_6.jpg,Flch0_azul,1,Flch6_morada,2,Flch1_verde,8,Flch2_naranja,1,Flch3_amarilla,1,Flch4_roja,6,395,295,362,325,266,263,378,121,416,212,201,315
32,32_Cam.001__7_6_4_1_2_2.jpg,Flch0_azul,7,Flch6_morada,6,Flch1_verde,4,Flch2_naranja,1,Flch3_amarilla,2,Flch4_roja,2,247,160,254,280,172,104,102,319,121,123,300,324
33,33_Cam.000__6_2_2_5_8_4.jpg,Flch0_azul,6,Flch6_morada,2,Flch1_verde,2,Flch2_naranja,5,Flch3_amarilla,8,Flch4_roja,4,170,229,112,342,77,181,271,114,287,216,315,126
34,34_Cam.003__4_5_2_1_3_1.jpg,Flch0_azul,4,Flch6_morada,5,Flch1_verde,2,Flch2_naranja,1,Flch3_amarilla,3,Flch4_roja,1,94,148,315,146,380,337,363,382,355,317,391,325
35,35_Cam.003__8_2_3_6_2_1.jpg,Flch0_azul,8,Flch6_morada,2,Flch1_verde,3,Flch2_naranja,6,Flch3_amarilla,2,Flch4_roja,1,166,231,86,98,384,244,306,274,71,110,256,8
36,36_Cam.001__3_8_1_7_1_8.jpg,Flch0_azul,3,Flch6_morada,8,Flch1_verde,1,Flch2_naranja,7,Flch3_amarilla,1,Flch4_roja,8,191,360,234,230,155,73,159,243,279,384,242,187
37,37_Cam.002__2_3_9_5_7_8.jpg,Flch0_azul,2,Flch6_morada,3,Flch1_verde,9,Flch2_naranja,5,Flch3_amarilla,7,Flch4_roja,8,96,117,300,127,229,266,124,195,279,198,227,297
38,38_Cam.003__1_4_9_4_4_5.jpg,Flch0_azul,1,Flch6_morada,4,Flch1_verde,9,Flch2_naranja,4,Flch3_amarilla,4,Flch4_roja,5,55,94,349,150,255,222,315,118,299,98,347,256
39,39_Cam.003__5_2_2_1_4_6.jpg,Flch0_azul,5,Flch6_morada,2,Flch1_verde,2,Flch2_naranja,1,Flch3_amarilla,4,Flch4_roja,6,330,239,61,145,94,79,133,26,221,357,261,134
40,40_Cam.002__2_1_1_1_9_10.jpg,Flch0_azul,2,Flch6_morada,1,Flch1_verde,1,Flch2_naranja,1,Flch3_amarilla,9,Flch4_roja,10,363,308,89,94,145,374,92,339,190,258,206,244
41,41_Cam.000__2_6_2_3_4_7.jpg,Flch0_azul,2,Flch6_morada,6,Flch1_verde,2,Flch2_naranja,3,Flch3_amarilla,4,Flch4_roja,7,326,357,174,171,189,409,352,196,122,183,197,231
42,42_Cam.001__3_1_2_8_6_2.jpg,Flch0_azul,3,Flch6_morada,1,Flch1_verde,2,Flch2_naranja,8,Flch3_amarilla,6,Flch4_roja,2,257,70,316,331,201,61,246,207,154,181,262,355
43,43_Cam.001__2_4_4_1_2_1.jpg,Flch0_azul,2,Flch6_morada,4,Flch1_verde,4,Flch2_naranja,1,Flch3_amarilla,2,Flch4_roja,1,326,144,296,245,263,102,347,286,194,363,351,265
44,44_Cam.001__5_7_5_5_1_1.jpg,Flch0_azul,5,Flch6_morada,7,Flch1_verde,5,Flch2_naranja,5,Flch3_amarilla,1,Flch4_roja,1,138,243,188,273,160,131,162,143,156,369,138,355
45,45_Cam.003__4_5_7_3_1_4.jpg,Flch0_azul,4,Flch6_morada,5,Flch1_verde,7,Flch2_naranja,3,Flch3_amarilla,1,Flch4_roja,4,236,87,128,309,286,185,329,85,232,12,174,86
46,46_Cam.003__4_5_3_1_1_2.jpg,Flch0_azul,4,Flch6_morada,5,Flch1_verde,3,Flch2_naranja,1,Flch3_amarilla,1,Flch4_roja,2,284,336,341,164,368,139,409,119,292,33,393,167
47,47_Cam.003__9_6_5_7_4_1.jpg,Flch0_azul,9,Flch6_morada,6,Flch1_verde,5,Flch2_naranja,7,Flch3_amarilla,4,Flch4_roja,1,219,180,263,313,343,226,240,153,312,112,316,409
48,48_Cam.002__7_1_3_5_5_2.jpg,Flch0_azul,7,Flch6_morada,1,Flch1_verde,3,Flch2_naranja,5,Flch3_amarilla,5,Flch4_roja,2,301,265,82,92,246,360,179,331,295,179,387,266
49,49_Cam.000__4_1_4_8_3_10.jpg,Flch0_azul,4,Flch6_morada,1,Flch1_verde,4,Flch2_naranja,8,Flch3_amarilla,3,Flch4_roja,10,339,176,46,209,327,315,293,212,327,323,263,221
50,50_Cam.001__1_6_7_1_3_5.jpg,Flch0_azul,1,Flch6_morada,6,Flch1_verde,7,Flch2_naranja,1,Flch3_amarilla,3,Flch4_roja,5,86,219,150,253,243,237,270,380,280,95,234,312
51,51_Cam.001__1_7_1_6_1_1.jpg,Flch0_azul,1,Flch6_morada,7,Flch1_verde,1,Flch2_naranja,6,Flch3_amarilla,1,Flch4_roja,1,324,319,224,279,215,396,159,171,341,298,290,42
52,52_Cam.000__3_5_4_2_2_6.jpg,Flch0_azul,3,Flch6_morada,5,Flch1_verde,4,Flch2_naranja,2,Flch3_amarilla,2,Flch4_roja,6,349,299,160,232,335,294,288,54,301,75,207,291
53,53_Cam.000__8_5_6_4_6_6.jpg,Flch0_azul,8,Flch6_morada,5,Flch1_verde,6,Flch2_naranja,4,Flch3_amarilla,6,Flch4_roja,6,222,191,229,102,274,139,268,366,189,285,303,274
54,54_Cam.003__1_2_1_4_5_1.jpg,Flch0_azul,1,Flch6_morada,2,Flch1_verde,1,Flch2_naranja,4,Flch3_amarilla,5,Flch4_roja,1,171,415,295,387,299,23,329,306,204,339,219,431
55,55_Cam.000__2_7_5_6_1_2.jpg,Flch0_azul,2,Flch6_morada,7,Flch1_verde,5,Flch2_naranja,6,Flch3_amarilla,1,Flch4_roja,2,288,396,298,195,187,119,167,184,153,403,370,223
56,56_Cam.003__2_5_3_5_1_4.jpg,Flch0_azul,2,Flch6_morada,5,Flch1_verde,3,Flch2_naranja,5,Flch3_amarilla,1,Flch4_roja,4,37,283,283,314,328,95,224,346,18,242,280,356
57,57_Cam.000__4_8_3_5_3_2.jpg,Flch0_azul,4,Flch6_morada,8,Flch1_verde,3,Flch2_naranja,5,Flch3_amarilla,3,Flch4_roja,2,152,276,285,259,105,223,255,341,95,209,83,289
58,58_Cam.003__7_1_7_6_2_8.jpg,Flch0_azul,7,Flch6_morada,1,Flch1_verde,7,Flch2_naranja,6,Flch3_amarilla,2,Flch4_roja,8,166,269,77,56,285,160,205,311,233,396,236,278
59,59_Cam.001__3_4_4_6_1_4.jpg,Flch0_azul,3,Flch6_morada,4,Flch1_verde,4,Flch2_naranja,6,Flch3_amarilla,1,Flch4_roja,4,169,94,276,300,265,322,137,214,163,386,137,281
60,60_Cam.000__3_1_4_7_8_2.jpg,Flch0_azul,3,Flch6_morada,1,Flch1_verde,4,Flch2_naranja,7,Flch3_amarilla,8,Flch4_roja,2,260,60,67,261,127,251,208,269,286,213,358,297
61,61_Cam.000__9_3_2_2_8_6.jpg,Flch0_azul,9,Flch6_morada,3,Flch1_verde,2,Flch2_naranja,2,Flch3_amarilla,8,Flch4_roja,6,237,240,155,352,124,361,124,340,206,194,267,125
62,62_Cam.000__6_2_7_3_8_5.jpg,Flch0_azul,6,Flch6_morada,2,Flch1_verde,7,Flch2_naranja,3,Flch3_amarilla,8,Flch4_roja,5,207,299,328,102,210,167,184,64,218,180,169,302
63,63_Cam.002__8_1_4_6_7_3.jpg,Flch0_azul,8,Flch6_morada,1,Flch1_verde,4,Flch2_naranja,6,Flch3_amarilla,7,Flch4_roja,3,184,209,419,272,93,215,251,172,198,201,350,149
64,64_Cam.000__3_4_5_4_1_6.jpg,Flch0_azul,3,Flch6_morada,4,Flch1_verde,5,Flch2_naranja,4,Flch3_amarilla,1,Flch4_roja,6,113,234,321,310,312,286,335,292,273,429,310,189
65,65_Cam.002__1_7_9_7_2_3.jpg,Flch0_azul,1,Flch6_morada,7,Flch1_verde,9,Flch2_naranja,7,Flch3_amarilla,2,Flch4_roja,3,402,152,162,215,191,228,158,248,65,140,381,221
66,66_Cam.001__5_5_3_6_7_1.jpg,Flch0_azul,5,Flch6_morada,5,Flch1_verde,3,Flch2_naranja,6,Flch3_amarilla,7,Flch4_roja,1,261,118,194,311,214,75,147,230,154,230,210,43
67,67_Cam.002__8_2_6_7_1_1.jpg,Flch0_azul,8,Flch6_morada,2,Flch1_verde,6,Flch2_naranja,7,Flch3_amarilla,1,Flch4_roja,1,264,271,64,294,161,186,155,247,180,381,30,236
68,68_Cam.000__2_5_1_1_2_8.jpg,Flch0_azul,2,Flch6_morada,5,Flch1_verde,1,Flch2_naranja,1,Flch3_amarilla,2,Flch4_roja,8,362,225,256,109,193,8,178,21,336,355,255,270
69,69_Cam.000__1_8_2_5_3_5.jpg,Flch0_azul,1,Flch6_morada,8,Flch1_verde,2,Flch2_naranja,5,Flch3_amarilla,3,Flch4_roja,5,160,28,282,212,118,76,153,251,352,209,214,95
70,70_Cam.000__5_3_5_1_1_5.jpg,Flch0_azul,5,Flch6_morada,3,Flch1_verde,5,Flch2_naranja,1,Flch3_amarilla,1,Flch4_roja,5,159,202,349,184,160,175,257,433,214,7,281,117
71,71_Cam.002__2_1_8_2_4_1.jpg,Flch0_azul,2,Flch6_morada,1,Flch1_verde,8,Flch2_naranja,2,Flch3_amarilla,4,Flch4_roja,1,53,277,174,375,183,268,173,372,315,167,29,203
72,72_Cam.001__1_2_2_2_6_6.jpg,Flch0_azul,1,Flch6_morada,2,Flch1_verde,2,Flch2_naranja,2,Flch3_amarilla,6,Flch4_roja,6,292,362,340,163,267,52,297,79,156,277,149,184
73,73_Cam.001__1_2_4_4_4_4.jpg,Flch0_azul,1,Flch6_morada,2,Flch1_verde,4,Flch2_naranja,4,Flch3_amarilla,4,Flch4_roja,4,319,88,289,340,159,311,238,103,140,284,292,150
74,74_Cam.003__1_2_3_1_1_1.jpg,Flch0_azul,1,Flch6_morada,2,Flch1_verde,3,Flch2_naranja,1,Flch3_amarilla,1,Flch4_roja,1,43,314,60,322,391,192,87,55,15,156,289,29
75,75_Cam.000__3_8_1_3_8_2.jpg,Flch0_azul,3,Flch6_morada,8,Flch1_verde,1,Flch2_naranja,3,Flch3_amarilla,8,Flch4_roja,2,350,297,210,228,315,392,317,120,251,282,146,74
76,76_Cam.001__2_6_2_2_8_2.jpg,Flch0_azul,2,Flch6_morada,6,Flch1_verde,2,Flch2_naranja,2,Flch3_amarilla,8,Flch4_roja,2,132,101,209,129,146,354,319,108,189,162,231,368
77,77_Cam.002__1_6_3_2_4_2.jpg,Flch0_azul,1,Flch6_morada,6,Flch1_verde,3,Flch2_naranja,2,Flch3_amarilla,4,Flch4_roja,2,172,383,130,236,183,351,239,90,184,349,108,337
78,78_Cam.002__3_1_3_2_3_7.jpg,Flch0_azul,3,Flch6_morada,1,Flch1_verde,3,Flch2_naranja,2,Flch3_amarilla,3,Flch4_roja,7,130,338,372,329,99,310,277,89,152,350,178,208
79,79_Cam.003__5_1_2_5_1_7.jpg,Flch0_azul,5,Flch6_morada,1,Flch1_verde,2,Flch2_naranja,5,Flch3_amarilla,1,Flch4_roja,7,343,201,280,27,246,411,154,307,365,61,203,282
80,80_Cam.000__2_1_2_9_3_1.jpg,Flch0_azul,2,Flch6_morada,1,Flch1_verde,2,Flch2_naranja,9,Flch3_amarilla,3,Flch4_roja,1,367,264,112,348,316,95,273,194,120,290,352,359
81,81_Cam.000__4_2_1_10_2_4.jpg,Flch0_azul,4,Flch6_morada,2,Flch1_verde,1,Flch2_naranja,10,Flch3_amarilla,2,Flch4_roja,4,333,159,299,78,178,426,244,208,361,202,176,347
82,82_Cam.002__4_1_1_8_1_2.jpg,Flch0_azul,4,Flch6_morada,1,Flch1_verde,1,Flch2_naranja,8,Flch3_amarilla,1,Flch4_roja,2,191,350,302,86,16,249,220,283,385,305,410,229
83,83_Cam.002__2_2_4_6_1_1.jpg,Flch0_azul,2,Flch6_morada,2,Flch1_verde,4,Flch2_naranja,6,Flch3_amarilla,1,Flch4_roja,1,39,240,249,369,263,342,207,173,325,359,127,361
84,84_Cam.001__5_2_2_8_7_7.jpg,Flch0_azul,5,Flch6_morada,2,Flch1_verde,2,Flch2_naranja,8,Flch3_amarilla,7,Flch4_roja,7,153,288,103,234,276,78,208,167,153,209,184,162
85,85_Cam.000__3_2_5_4_1_6.jpg,Flch0_azul,3,Flch6_morada,2,Flch1_verde,5,Flch2_naranja,4,Flch3_amarilla,1,Flch4_roja,6,173,358,123,91,186,132,294,102,122,46,318,198
86,86_Cam.001__2_2_6_1_2_1.jpg,Flch0_azul,2,Flch6_morada,2,Flch1_verde,6,Flch2_naranja,1,Flch3_amarilla,2,Flch4_roja,1,237,44,262,360,170,145,228,27,193,375,176,57
87,87_Cam.003__3_1_4_2_3_1.jpg,Flch0_azul,3,Flch6_morada,1,Flch1_verde,4,Flch2_naranja,2,Flch3_amarilla,3,Flch4_roja,1,355,134,100,62,334,124,374,103,76,316,145,422
88,88_Cam.003__9_5_3_8_2_1.jpg,Flch0_azul,9,Flch6_morada,5,Flch1_verde,3,Flch2_naranja,8,Flch3_amarilla,2,Flch4_roja,1,264,215,229,333,164,371,235,272,249,30,168,12
89,89_Cam.000__3_4_7_7_1_3.jpg,Flch0_azul,3,Flch6_morada,4,Flch1_verde,7,Flch2_naranja,7,Flch3_amarilla,1,Flch4_roja,3,117,225,126,193,301,255,202,245,329,378,218,388
90,90_Cam.002__5_5_4_3_4_2.jpg,Flch0_azul,5,Flch6_morada,5,Flch1_verde,4,Flch2_naranja,3,Flch3_amarilla,4,Flch4_roja,2,344,242,283,326,106,279,329,128,240,121,375,305
91,91_Cam.003__5_4_6_1_8_4.jpg,Flch0_azul,5,Flch6_morada,4,Flch1_verde,6,Flch2_naranja,1,Flch3_amarilla,8,Flch4_roja,4,133,300,326,129,198,307,169,416,275,247,340,315
92,92_Cam.002__2_3_5_1_5_4.jpg,Flch0_azul,2,Flch6_morada,3,Flch1_verde,5,Flch2_naranja,1,Flch3_amarilla,5,Flch4_roja,4,106,335,364,289,212,332,167,75,219,337,355,190
93,93_Cam.003__4_1_7_4_2_3.jpg,Flch0_azul,4,Flch6_morada,1,Flch1_verde,7,Flch2_naranja,4,Flch3_amarilla,2,Flch4_roja,3,304,95,216,429,156,203,263,80,333,371,264,60
94,94_Cam.000__3_2_3_2_10_1.jpg,Flch0_azul,3,Flch6_morada,2,Flch1_verde,3,Flch2_naranja,2,Flch3_amarilla,10,Flch4_roja,1,114,154,337,122,338,325,77,222,266,219,166,13
95,95_Cam.000__4_3_1_5_4_9.jpg,Flch0_azul,4,Flch6_morada,3,Flch1_verde,1,Flch2_naranja,5,Flch3_amarilla,4,Flch4_roja,9,324,145,187,360,262,23,325,206,229,362,251,252
96,96_Cam.002__5_1_9_4_1_3.jpg,Flch0_azul,5,Flch6_morada,1,Flch1_verde,9,Flch2_naranja,4,Flch3_amarilla,1,Flch4_roja,3,115,227,32,268,221,268,273,339,422,256,268,102
97,97_Cam.001__6_2_2_1_2_9.jpg,Flch0_azul,6,Flch6_morada,2,Flch1_verde,2,Flch2_naranja,1,Flch3_amarilla,2,Flch4_roja,9,189,298,344,160,174,367,215,386,136,337,219,235
98,98_Cam.001__2_5_1_4_2_6.jpg,Flch0_azul,2,Flch6_morada,5,Flch1_verde,1,Flch2_naranja,4,Flch3_amarilla,2,Flch4_roja,6,322,290,271,146,274,42,209,84,190,378,155,263
99,99_Cam.001__4_6_4_1_7_2.jpg,Flch0_azul,4,Flch6_morada,6,Flch1_verde,4,Flch2_naranja,1,Flch3_amarilla,7,Flch4_roja,2,138,305,204,137,273,308,222,43,244,251,264,356
100,100_Cam.003__2_6_4_4_4_4.jpg,Flch0_azul,2,Flch6_morada,6,Flch1_verde,4,Flch2_naranja,4,Flch3_amarilla,4,Flch4_roja,4,265,411,182,125,297,337,283,92,336,137,347,129
101,101_Cam.001__5_3_5_9_6_1.jpg,Flch0_azul,5,Flch6_morada,3,Flch1_verde,5,Flch2_naranja,9,Flch3_amarilla,6,Flch4_roja,1,139,187,151,107,208,307,184,234,183,129,159,65
102,102_Cam.003__1_1_5_10_2_1.jpg,Flch0_azul,1,Flch6_morada,1,Flch1_verde,5,Flch2_naranja,10,Flch3_amarilla,2,Flch4_roja,1,422,205,16,150,337,251,240,219,399,144,204,426
103,103_Cam.001__2_6_4_2_5_5.jpg,Flch0_azul,2,Flch6_morada,6,Flch1_verde,4,Flch2_naranja,2,Flch3_amarilla,5,Flch4_roja,5,286,334,255,161,177,101,288,75,278,253,180,310
104,104_Cam.002__2_2_4_3_3_4.jpg,Flch0_azul,2,Flch6_morada,2,Flch1_verde,4,Flch2_naranja,3,Flch3_amarilla,3,Flch4_roja,4,57,187,41,228,350,222,80,164,241,364,262,137
105,105_Cam.002__1_7_3_5_2_2.jpg,Flch0_azul,1,Flch6_morada,7,Flch1_verde,3,Flch2_naranja,5,Flch3_amarilla,2,Flch4_roja,2,16,213,158,259,80,273,251,336,104,338,351,318
106,106_Cam.003__2_5_2_2_3_2.jpg,Flch0_azul,2,Flch6_morada,5,Flch1_verde,2,Flch2_naranja,2,Flch3_amarilla,3,Flch4_roja,2,318,60,156,330,288,43,28,241,98,336,33,219
107,107_Cam.000__2_1_6_5_6_2.jpg,Flch0_azul,2,Flch6_morada,1,Flch1_verde,6,Flch2_naranja,5,Flch3_amarilla,6,Flch4_roja,2,86,129,278,33,164,244,294,313,306,165,306,374
108,108_Cam.003__3_3_3_1_3_1.jpg,Flch0_azul,3,Flch6_morada,3,Flch1_verde,3,Flch2_naranja,1,Flch3_amarilla,3,Flch4_roja,1,92,309,377,149,66,171,165,427,328,83,417,311
109,109_Cam.002__1_2_4_2_1_3.jpg,Flch0_azul,1,Flch6_morada,2,Flch1_verde,4,Flch2_naranja,2,Flch3_amarilla,1,Flch4_roja,3,51,120,83,125,261,138,228,372,94,99,139,345
110,110_Cam.002__6_5_3_2_3_2.jpg,Flch0_azul,6,Flch6_morada,5,Flch1_verde,3,Flch2_naranja,2,Flch3_amarilla,3,Flch4_roja,2,146,287,239,331,176,104,212,80,82,283,171,88
111,111_Cam.000__1_1_3_7_9_1.jpg,Flch0_azul,1,Flch6_morada,1,Flch1_verde,3,Flch2_naranja,7,Flch3_amarilla,9,Flch4_roja,1,315,63,116,358,335,147,265,159,245,181,337,91
112,112_Cam.002__8_9_3_2_2_2.jpg,Flch0_azul,8,Flch6_morada,9,Flch1_verde,3,Flch2_naranja,2,Flch3_amarilla,2,Flch4_roja,2,258,224,232,278,149,347,71,164,142,105,43,230
113,113_Cam.003__3_3_6_2_5_1.jpg,Flch0_azul,3,Flch6_morada,3,Flch1_verde,6,Flch2_naranja,2,Flch3_amarilla,5,Flch4_roja,1,168,374,99,120,323,221,351,356,209,344,136,28
114,114_Cam.001__2_2_2_8_1_2.jpg,Flch0_azul,2,Flch6_morada,2,Flch1_verde,2,Flch2_naranja,8,Flch3_amarilla,1,Flch4_roja,2,96,207,172,77,186,361,228,164,303,64,271,61
115,115_Cam.002__7_4_1_2_7_2.jpg,Flch0_azul,7,Flch6_morada,4,Flch1_verde,1,Flch2_naranja,2,Flch3_amarilla,7,Flch4_roja,2,282,279,117,159,46,289,205,370,169,220,41,189
116,116_Cam.000__7_3_2_3_6_6.jpg,Flch0_azul,7,Flch6_morada,3,Flch1_verde,2,Flch2_naranja,3,Flch3_amarilla,6,Flch4_roja,6,187,205,345,312,276,395,341,312,172,168,311,209
117,117_Cam.002__7_3_5_1_6_10.jpg,Flch0_azul,7,Flch6_morada,3,Flch1_verde,5,Flch2_naranja,1,Flch3_amarilla,6,Flch4_roja,10,189,295,250,353,274,324,408,143,134,269,237,245
118,118_Cam.001__6_6_3_3_4_1.jpg,Flch0_azul,6,Flch6_morada,6,Flch1_verde,3,Flch2_naranja,3,Flch3_amarilla,4,Flch4_roja,1,178,145,143,240,124,297,124,151,138,302,215,28
119,119_Cam.000__4_2_4_2_1_1.jpg,Flch0_azul,4,Flch6_morada,2,Flch1_verde,4,Flch2_naranja,2,Flch3_amarilla,1,Flch4_roja,1,338,205,314,89,296,330,268,400,372,168,288,33
120,120_Cam.002__6_4_2_1_1_7.jpg,Flch0_azul,6,Flch6_morada,4,Flch1_verde,2,Flch2_naranja,1,Flch3_amarilla,1,Flch4_roja,7,296,282,313,162,376,165,352,342,237,380,280,271
121,121_Cam.003__2_1_3_9_2_10.jpg,Flch0_azul,2,Flch6_morada,1,Flch1_verde,3,Flch2_naranja,9,Flch3_amarilla,2,Flch4_roja,10,39,270,396,124,96,340,248,186,412,252,222,231
